Block_name,Block_id
Jamkhed,53891
Shrirampur,53%3A11
Kopargaon,53911
Rahata,53961
Nevasa,53931
Nagar,53921
Rahuri,53971
Shevgaon,53991
Akole,53881
Sangamner,53981
Pathardi,53951
Shrigonda,539%3A1
Parner,53941
Karjat,538%3A1
TELHARA,53%3A81
Akot,53%3A31
Akola,53%3A21
Murtijapur,53%3A61
Balapur,53%3A41
Patur,53%3A71
Barshitakli,53%3A51
Morshi,54191
Nandgaon Kh.,541%3A1
Teosa,54211
Warud,54221
Chandur Rly,54131
Bhatkuli,54121
CHANDUR BAZAR,54141
Anjangaon Surji,54111
Dhamangaon Rly,54171
Amravati,53%3A%3A1
Dharni,54181
Daryapur,54161
ACHALPUR,53%3A91
Chikhaldara,54151
Sillod,54291
Soegaon,542%3A1
Kannad,54251
Vaijapur,54311
Khuldabad,54261
Aurangabad,54231
Paithan,54271
Phulambri,54281
Gangapur,54241
Dharur,54351
Wadwani,54421
Ambejogai,54321
Parli,54391
Shirur (kasar),54411
Manjlegaon,54381
Kaij,54371
Georai,54361
Patoda,543%3A1
Ashti,54331
Beed,54341
Pauni,54471
Lakhandur,54441
Mohadi,54461
Lakhani,54451
Sakoli,54481
Tumsar,54491
Bhandara,54431
Sindkhed Raja,54621
Sangrampur,545%3A1
Malkapur,54561
Deulgaon Raja,54521
Chikhali,54511
Nandura,54591
Motala,54581
Buldana,544%3A1
Lonar,54551
Jalgaon (jamod),54531
Khamgaon,54541
Mehkar,54571
Shegaon,54611
Chandrapur,54661
Warora,54771
Bhadrawati,54641
Korpana,546%3A1
Mul,54711
Brahmapuri,54651
Gondpipri,54681
Chimur,54671
Ballarpur,54631
Rajura,54741
Sawali,54751
Pombhurna,54731
Sindewahi,54761
Nagbhid,54721
Jiwati,54691
Sindkhede,547%3A1
Shirpur,54811
Dhule,54781
Sakri,54791
Desaiganj Wadasa,54861
Gadchiroli,54891
Dhanora,54871
Sironcha,54931
Armori,54831
Etapalli,54881
Kurkheda,54911
Chamorshi,54851
Mulchera,54921
Aheri,54821
Korchi,548%3A1
Bhamragad,54841
Amgaon,54941
Tirora,54%3A11
Arjuni Morgaon,54951
Goregaon,54981
Gondia,54971
Sadak- Arjuni,54991
Deori,54961
Salekasa,549%3A1
Aundha (nagnath),54%3A21
BASMATH,54%3A31
Hingoli,54%3A41
Kalamnuri,54%3A51
Sengaon,54%3A61
Pachora,55181
Parola,55191
Raver,551%3A1
Yawal,55211
Erandol,55141
Chalisgaon,55111
Jalgaon,55151
Jamner,55161
Amalner,54%3A71
Dharangaon,55131
Bhadgaon,54%3A81
Bhusawal,54%3A91
Chopda,55121
Muktainagar,55171
Bodvad,54%3A%3A1
Ambad,55221
Bhokardan,55241
Jafrabad,55261
Jalna,55271
Mantha,55281
Partur,55291
Ghansawangi,55251
Badnapur,55231
Bhudargad,55321
Gaganbavda,55311
Kagal,55361
Gadhinglaj,55341
Panhala,55381
Radhanagari,55391
Shirol,55411
Chandgad,55331
Ajra,552%3A1
Karvir,55371
Shahuwadi,553%3A1
Hatkanangale,55351
Shirur Anantpal,554%3A1
Udgir,55511
Nilanga,55481
Jalkot,55461
Chakur,55441
Renapur,55491
AUSA,55431
Deoni,55451
Latur,55471
Ahmadpur,55421
Narkhed,55631
Kalameshwar,55571
Kamptee,55581
Nagpur (rural),55621
Katol,55591
Savner,55661
Mauda,55611
Umred,55671
PARSEONI,55641
Bhiwapur,55551
Kuhi,555%3A1
HINGNA,55561
Ramtek,55651
Ardhapur,55681
Mahoor,55781
Mukhed,557%3A1
Mudkhed,55791
Dharmabad,55721
Umari,55831
Kinwat,55761
Kandhar,55751
Bhokar,55691
Naigaon (khai),55811
Biloli,556%3A1
Loha,55771
Hadgaon,55731
Nanded,55821
Himayatnagar,55741
Deglur,55711
Nandurbar,55861
Shahada,55881
Navapur,55871
Taloda,55891
Akkalkuwa,55841
Akarani,55851
Niphad,55991
Dindori,55931
Nashik,55981
Deola,55921
SINNAR,55%3A11
BAGLAN,558%3A1
KALWAN,55951
Chandwad,55911
Nandgaon,55971
Igatpuri,55941
MALEGAON,55961
Yeola,55%3A41
Trambakeshwar,55%3A31
Peth,559%3A1
Surgana,55%3A21
Tuljapur,56111
Washi,56121
Bhum,55%3A51
Paranda,55%3A%3A1
Kalamb,55%3A61
Osmanabad,55%3A91
Lohara,55%3A71
Umarga,55%3A81
Palghar,56%3A71
Vasai,57121
Vikramgad,57131
Talasari,56%3A91
Jawhar,56%3A31
Dahanu,56%3A21
WADA,57141
Mokhada,56%3A51
Palam,56161
Purna,56191
Parbhani,56171
Gangakhed,56131
Manawat,56151
Selu,561%3A1
Pathri,56181
Sonpeth,56211
Jintur,56141
BHOR,56271
MULSHI,562%3A1
BARAMATI,56221
Velha,56351
SHIRUR,56341
Ambegaon,56311
MAVAL,56251
PURANDHAR,56331
DAUND,56281
INDAPUR,56291
HAVELI,56231
KHED,56241
Junnar,56261
Uran,564%3A1
Mhasla,56411
Khalapur,56381
Mangaon,563%3A1
Tala,56491
Murud,56421
Panvel,56431
Shriwardhan,56471
Mahad,56391
Roha,56461
Alibag,56361
Poladpur,56451
Sudhagad,56481
Karjat,56371
Pen,56441
Guhagar,56531
Chiplun,56511
Dapoli,56521
Lanja,56551
Ratnagiri,56581
Mandangad,56561
Sangameshwar,56591
Rajapur,56571
KHED,56541
Shirala,56671
Kadegaon,56621
Palus,56661
Khanapur,56641
Walwa,56691
Atpadi,565%3A1
Tasgaon,56681
Kawathe Mahankal,56631
Miraj,56651
Jath,56611
Khandala,56721
Koregaon,56741
Wai,567%3A1
Khatav,56731
Man,56761
Karad,56711
Jaoli,566%3A1
Mahabaleshwar,56751
Phaltan,56781
Satara,56791
Patan,56771
Dodamarg,56821
Kankavali,56831
Vaibhavwadi,56871
Sawantwadi,56861
Vengurla,56881
Deogad,56811
Kudal,56841
MALWAN,56851
Akkalkot,56891
Solapur North,56981
Madha,56921
Mohol,56951
Malshiras,56931
Solapur South,56991
Karmala,56911
Barshi,568%3A1
Mangalvedhe,56941
