state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level,TotalHab,TotalNoofHouseholds,HousesWithTaps,NoofSchool,School_TapCon,RunningWater_In_Toilet_Urinals_School,hand_wash_avail_School,NoofBal_Agan,Bal_Agan_TapCon,RunningWater_In_Toilet_Urinals_Agan,hand_wash_avail_Agan,JJMStatus,SCCurrentPop,STCurrentPop,GENCurrentPop,TotalCurrentPop
Rajasthan,Ajmer,Pisangan,6831,Shivpura,1111453%3A871,51.0,1,127,0,0,0,0,0,0,0,0,0,In progress,0,0,736,736
Rajasthan,Ajmer,Pisangan,6831,Bhagwanpura,11114541561,42.04,5,386,0,3,2,0,2,2,0,0,0,In progress,536,8,1523,2067
Rajasthan,Ajmer,Pisangan,6831,Pagara,11114541861,41.67,4,362,0,3,3,0,3,2,2,0,2,In progress,347,0,1546,1893
Rajasthan,Ajmer,Pisangan,6831,Reechhmaliya,11114541871,41.26,5,374,0,3,3,0,3,1,1,0,1,In progress,461,0,1302,1763
Rajasthan,Ajmer,Pisangan,6831,Bakhtawarpura,11114541941,48.0,1,196,0,2,0,0,0,1,1,0,1,In progress,63,0,973,1036
Rajasthan,Ajmer,Pisangan,6831,Roopnagar Thoriya,11114541991,40.0,1,202,0,2,1,0,1,2,1,0,1,In progress,15,7,1387,1409
Rajasthan,Ajmer,Pisangan,6831,Dhuwariya,11114541%3A11,50.0,1,129,0,1,1,0,1,1,1,0,1,In progress,63,0,606,669
Rajasthan,Ajmer,Pisangan,6831,Ramnagar,11117611511,35.0,1,126,0,0,0,0,0,0,0,0,0,In progress,0,0,842,842
Rajasthan,Ajmer,Pisangan,6831,Dev Nagar,11117611521,36.0,1,122,0,0,0,0,0,0,0,0,0,In progress,0,0,744,744
Rajasthan,Ajmer,Pisangan,6831,Gangora,11117611551,52.0,1,36,0,1,1,0,1,0,0,0,0,In progress,23,2,94,119
Rajasthan,Ajmer,Pisangan,6831,Prithviraj Khera,11114541351,40.0,1,301,3,2,1,0,1,2,1,0,1,In progress,104,0,1546,1650
Rajasthan,Ajmer,Pisangan,6831,Shivpura,111145419%3A1,41.16,4,417,21,2,1,0,1,1,1,0,1,In progress,166,2,1942,2110
Rajasthan,Ajmer,Pisangan,6831,Garhi Goojran,11114541651,40.0,1,157,11,2,2,0,2,0,0,0,0,In progress,0,0,910,910
Rajasthan,Ajmer,Pisangan,6831,Daulatpura,11114541981,42.0,1,85,8,3,0,0,0,1,1,0,1,In progress,28,0,463,491
Rajasthan,Ajmer,Pisangan,6831,Pabu Than,11117611541,50.0,1,200,21,2,1,0,1,2,1,0,1,In progress,116,0,879,995
Rajasthan,Ajmer,Pisangan,6831,Amargarh,1111453%3A961,40.27,2,345,40,2,2,0,2,2,2,0,2,In progress,157,0,1505,1662
Rajasthan,Ajmer,Pisangan,6831,Bhatsoori,111145418%3A1,42.0,1,467,62,2,2,0,2,2,2,0,2,In progress,531,0,1924,2455
Rajasthan,Ajmer,Pisangan,6831,Motisar,11117497921,43.0,1,270,39,2,0,0,0,1,1,0,1,In progress,230,0,1221,1451
Rajasthan,Ajmer,Pisangan,6831,Karnos,11114541961,43.77,8,409,76,7,5,0,5,2,1,0,1,In progress,264,0,1831,2095
Rajasthan,Ajmer,Pisangan,6831,Jetgarh,11114541951,49.56,3,138,29,2,2,0,2,0,0,0,0,In progress,9,20,722,751
Rajasthan,Ajmer,Pisangan,6831,Raimala,11117611531,42.0,1,93,24,2,1,0,1,2,1,0,1,In progress,9,0,484,493
Rajasthan,Ajmer,Pisangan,6831,Gigalpura,11114541331,41.0,1,116,30,1,1,0,1,0,0,0,0,In progress,54,0,553,607
Rajasthan,Ajmer,Pisangan,6831,Rudlai,1111453%3A951,43.93,2,312,85,1,1,0,1,1,1,0,1,In progress,84,1,1478,1563
Rajasthan,Ajmer,Pisangan,6831,Sawaipura,11114541571,42.0,1,246,69,2,2,0,2,1,1,0,1,In progress,275,12,1023,1310
Rajasthan,Ajmer,Pisangan,6831,Dodiyana,11114541391,51.74,4,490,194,5,1,0,1,3,1,0,1,In progress,271,0,2159,2430
Rajasthan,Ajmer,Pisangan,6831,Kesharpura,1111453%3A861,40.63,5,735,330,8,7,0,7,4,2,0,2,In progress,635,1,3384,4020
Rajasthan,Ajmer,Pisangan,6831,Arjunpura Khalsa,1111453%3A891,40.0,1,118,53,1,1,0,1,1,1,0,1,In progress,239,83,400,722
Rajasthan,Ajmer,Pisangan,6831,Kotaj,1111453%3A881,40.88,4,306,154,2,1,0,1,1,0,0,0,In progress,0,144,1538,1682
Rajasthan,Ajmer,Pisangan,6831,Gola,11114541321,41.57,4,607,310,7,6,0,6,5,2,0,2,In progress,343,9,2830,3182
Rajasthan,Ajmer,Pisangan,6831,Nathoothala,111145413%3A1,44.0,1,377,209,3,3,0,3,1,1,0,1,In progress,214,0,1771,1985
Rajasthan,Ajmer,Pisangan,6831,Surajkund,11114541581,44.27,4,243,154,4,3,0,3,2,0,0,0,In progress,252,0,1079,1331
Rajasthan,Ajmer,Pisangan,6831,Nagelao,11114541%3A21,40.96,2,960,653,5,3,0,3,3,3,0,3,In progress,559,33,4546,5138
Rajasthan,Ajmer,Pisangan,6831,Titardi,11114541341,42.0,1,129,96,2,1,0,1,2,1,0,1,In progress,68,0,578,646
Rajasthan,Ajmer,Pisangan,6831,Pratappura,11114541911,55.0,1,75,59,1,1,0,1,0,0,0,0,In progress,0,0,442,442
Rajasthan,Ajmer,Pisangan,6831,Jethana,11114541361,40.96,8,1337,1053,11,6,0,6,5,5,0,5,In progress,1456,131,5428,7015
Rajasthan,Ajmer,Pisangan,6831,Ratangarh,11114541971,40.98,3,214,170,2,2,0,2,1,1,0,1,In progress,351,0,712,1063
