state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level,TotalHab,TotalNoofHouseholds,HousesWithTaps,NoofSchool,School_TapCon,RunningWater_In_Toilet_Urinals_School,hand_wash_avail_School,NoofBal_Agan,Bal_Agan_TapCon,RunningWater_In_Toilet_Urinals_Agan,hand_wash_avail_Agan,JJMStatus,SCCurrentPop,STCurrentPop,GENCurrentPop,TotalCurrentPop
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,BODDUMAMIDI,11111147831,55.0,1,35,0,1,1,0,1,1,1,0,0,In progress,0,94,46,140
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,KOTTHAPAKALU,11111147%3A31,55.0,1,28,0,1,1,0,0,0,0,0,0,In progress,0,115,0,115
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,KOTHA KOTA,11111148121,55.0,1,7,0,0,0,0,0,0,0,0,0,In progress,0,31,0,31
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,KUNKUMAMIDI,11111148371,55.0,1,8,0,0,0,0,0,0,0,0,0,In progress,0,33,0,33
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,CHINTALAPUDI,11111148411,55.0,1,83,0,1,1,0,1,1,1,0,0,In progress,0,330,0,330
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,KOKITAGONDI,11111148441,54.84,1,22,0,0,0,0,0,0,0,0,0,In progress,0,91,0,91
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,GANNAVARAM,11111148461,55.0,1,7,0,0,0,0,0,0,0,0,0,In progress,0,28,0,28
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,TADIKOTA,11111148491,55.0,1,8,0,0,0,0,0,0,0,0,0,In progress,0,33,0,33
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,NULAKAMAMIDI,111111484%3A1,55.0,2,26,0,0,0,0,0,0,0,0,0,In progress,0,102,4,106
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,KAPPALABANDA,11111148561,55.0,1,4,0,1,1,0,1,0,0,0,0,In progress,0,19,0,19
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,NAKKALPADU,11111148771,55.0,1,5,0,0,0,0,0,0,0,0,0,In progress,0,20,0,20
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,MULAGALAPAUDI,11111148821,63.52,1,22,0,0,0,0,0,0,0,0,0,In progress,0,88,0,88
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,NELLIKOTA,111111485%3A1,55.0,1,8,0,0,0,0,0,0,0,0,0,In progress,0,35,0,35
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,DORAWADA,11116%3A847%3A1,55.0,1,5,0,0,0,0,0,0,0,0,0,In progress,0,21,0,21
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,VEDULLAPALLI,11116%3A84871,55.0,1,9,0,0,0,0,0,0,0,0,0,In progress,0,37,0,37
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,GOPOLATHOTAMANIDI,11111148141,55.0,1,32,3,1,1,0,1,0,0,0,0,In progress,0,128,0,128
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,SINGAWARAM,11111148621,55.0,1,37,4,0,0,0,0,0,0,0,0,In progress,0,145,4,149
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,DUBELA,11111147911,55.0,1,8,1,0,0,0,0,0,0,0,0,In progress,0,34,0,34
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,LINGAVARAM,11111148221,55.0,1,34,8,1,1,0,1,0,0,0,0,In progress,0,138,0,138
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,SINGANNAKOTA,111111479%3A1,55.0,1,21,5,0,0,0,0,0,0,0,0,In progress,0,64,20,84
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,DADALIKAWADA,11111148611,55.0,1,40,10,1,1,0,1,0,0,0,0,In progress,0,161,0,161
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,BURADAKOTA,11111148591,55.0,1,79,20,1,1,0,1,0,0,0,0,In progress,0,316,0,316
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,TANGEDUKOTA,11111147981,55.0,2,57,17,0,0,0,0,0,0,0,0,In progress,0,205,25,230
Andhra Pradesh,Alluri Sitharama Raju,Y. RAMAVARAM,5%3A311,ANTILOVA,111111478%3A1,82.28,1,40,13,1,1,0,0,0,0,0,0,In progress,0,155,3,158
