state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level,TotalHab,TotalNoofHouseholds,HousesWithTaps,NoofSchool,School_TapCon,RunningWater_In_Toilet_Urinals_School,hand_wash_avail_School,NoofBal_Agan,Bal_Agan_TapCon,RunningWater_In_Toilet_Urinals_Agan,hand_wash_avail_Agan,JJMStatus,SCCurrentPop,STCurrentPop,GENCurrentPop,TotalCurrentPop
Jammu&Kashmir,Anantnag,DACHNIPORA,41,MIRGUND,11112486311,55.0,1,17,13,0,0,0,0,1,1,1,1,In progress,0,0,85,85
Jammu&Kashmir,Anantnag,DACHNIPORA,41,SAKHRAS,11112486711,55.0,3,353,334,6,6,6,6,4,4,4,4,In progress,0,0,2931,2931
Jammu&Kashmir,Anantnag,DACHNIPORA,41,ADLASH MAGAM,11117416911,55.0,2,316,299,0,0,0,0,0,0,0,0,In progress,0,0,3046,3046
Jammu&Kashmir,Anantnag,DACHNIPORA,41,Arwara,11112486291,55.0,1,200,190,3,3,3,3,2,2,2,2,In progress,0,0,1800,1800
Jammu&Kashmir,Anantnag,DACHNIPORA,41,CHINIGUND,111124862%3A1,55.0,3,184,175,2,2,2,2,1,1,1,1,In progress,0,102,1159,1261
Jammu&Kashmir,Anantnag,DACHNIPORA,41,Srigufwara,11112486731,55.0,2,356,339,14,14,14,14,9,9,9,9,In progress,0,0,3917,3917
Jammu&Kashmir,Anantnag,DACHNIPORA,41,LEHANDAJAN,11117416111,55.0,1,400,384,4,4,4,4,5,5,5,5,In progress,0,961,2400,3361
Jammu&Kashmir,Anantnag,DACHNIPORA,41,HARDUKUTAL/SOFIPORA,11112486631,22.02,3,549,528,7,7,7,7,3,3,3,3,In progress,0,100,3138,3238
Jammu&Kashmir,Anantnag,DACHNIPORA,41,K. Kalan,11112486171,55.0,4,660,639,5,5,4,4,5,5,5,5,In progress,0,0,4634,4634
Jammu&Kashmir,Anantnag,DACHNIPORA,41,Satkipora,11112486181,55.0,2,204,198,4,4,4,4,3,3,3,3,In progress,0,0,2262,2262
Jammu&Kashmir,Anantnag,DACHNIPORA,41,Darigund,11112486141,55.0,1,169,165,2,2,2,2,4,4,4,4,In progress,0,15,980,995
Jammu&Kashmir,Anantnag,DACHNIPORA,41,KHIRAM,11112485%3A%3A1,55.0,10,915,896,18,18,18,18,16,16,16,16,In progress,0,1967,3308,5275
Jammu&Kashmir,Anantnag,DACHNIPORA,41,Kanelwan,11112486331,29.06,3,638,625,20,20,20,20,7,7,7,7,In progress,0,0,3823,3823
Jammu&Kashmir,Anantnag,DACHNIPORA,41,SALLER,11112486661,55.0,4,999,982,25,25,25,25,24,24,24,24,In progress,0,1684,4097,5781
Jammu&Kashmir,Anantnag,DACHNIPORA,41,WULLARHAMA,11112486621,55.0,2,240,236,3,3,3,3,7,7,7,7,In progress,0,1,1740,1741
Jammu&Kashmir,Anantnag,DACHNIPORA,41,BEWOORA,11112486161,38.42,3,495,488,6,6,6,6,5,5,5,5,In progress,0,11,3924,3935
Jammu&Kashmir,Anantnag,DACHNIPORA,41,Katsoo,11112486681,36.5,1,480,474,5,5,5,5,6,6,6,6,In progress,0,1050,2950,4000
Jammu&Kashmir,Anantnag,DACHNIPORA,41,Mahind,11112486121,55.0,1,299,296,6,6,4,4,7,7,7,6,In progress,0,0,3093,3093
Jammu&Kashmir,Anantnag,DACHNIPORA,41,SIRHAMA BALA,11112485%3A91,55.0,3,943,934,7,7,7,7,12,12,12,12,In progress,0,151,6670,6821
Jammu&Kashmir,Anantnag,DACHNIPORA,41,Lever,11112486671,55.0,3,454,451,4,4,4,4,7,7,7,7,In progress,0,1630,1156,2786
Jammu&Kashmir,Anantnag,DACHNIPORA,41,Chatrasoo Budroo,11112486691,55.0,3,545,542,4,4,4,4,6,6,6,6,In progress,0,8,3400,3408
Jammu&Kashmir,Anantnag,DACHNIPORA,41,Banderpora,11112486281,19.61,1,221,220,5,5,5,5,2,2,2,2,In progress,0,29,1297,1326
Jammu&Kashmir,Anantnag,DACHNIPORA,41,SUNDPORA,11112486321,55.0,2,237,237,5,5,5,5,3,3,3,3,100% Har Ghar Jal,0,0,1400,1400
