state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level,TotalHab,TotalNoofHouseholds,HousesWithTaps,NoofSchool,School_TapCon,RunningWater_In_Toilet_Urinals_School,hand_wash_avail_School,NoofBal_Agan,Bal_Agan_TapCon,RunningWater_In_Toilet_Urinals_Agan,hand_wash_avail_Agan,JJMStatus,SCCurrentPop,STCurrentPop,GENCurrentPop,TotalCurrentPop
Kerala,Alappuzha,Thykkattussery,6%3A6%3A1,Panavally,11112825221,56.84,18,9460,9388,8,8,1,8,32,32,9,32,In progress,5527,290,25537,31354
Kerala,Alappuzha,Thykkattussery,6%3A6%3A1,Arookuty,11117628341,55.0,13,5891,5874,4,4,0,4,21,21,0,21,In progress,1901,19,17662,19582
Kerala,Alappuzha,Thykkattussery,6%3A6%3A1,Pallippuram,11112825191,100.0,17,7909,7909,7,7,7,7,30,30,6,29,100% Har Ghar Jal,3725,189,24610,28524
Kerala,Alappuzha,Thykkattussery,6%3A6%3A1,Thaikattussery,111128251%3A1,88.68,15,6078,6078,8,8,0,8,22,22,0,22,100% Har Ghar Jal,3157,97,17802,21056
Kerala,Alappuzha,Thykkattussery,6%3A6%3A1,Perumbalam,11112825211,100.0,13,2719,2719,4,4,2,4,15,15,4,15,100% Har Ghar Jal,593,28,9733,10354
Kerala,Alappuzha,Pattanakkadu,6%3A691,Pattanakkad,11112825271,82.55,19,10221,8698,7,7,1,7,30,30,0,30,In progress,2243,189,41090,43522
Kerala,Alappuzha,Pattanakkadu,6%3A691,Kuthiathode,11112825251,64.29,16,5970,5350,8,8,1,8,24,24,0,24,In progress,2118,51,30174,32343
Kerala,Alappuzha,Pattanakkadu,6%3A691,Ezhupunna,11112825241,16.88,17,7438,7025,5,5,2,5,27,27,0,23,In progress,5916,64,29299,35279
Kerala,Alappuzha,Pattanakkadu,6%3A691,Kodamthuruth,11112825281,73.88,15,6353,6041,8,8,1,8,23,23,0,23,In progress,4248,30,25772,30050
Kerala,Alappuzha,Pattanakkadu,6%3A691,Aroor,11117624581,100.0,21,10284,10284,8,8,3,8,35,35,1,4,100% Har Ghar Jal,1274,11,42241,43526
Kerala,Alappuzha,Pattanakkadu,6%3A691,Vayalar East,111176248%3A1,70.0,16,7698,7698,6,6,6,6,26,26,3,6,100% Har Ghar Jal,963,0,31827,32790
Kerala,Alappuzha,Pattanakkadu,6%3A691,Thuravoor,11112825231,100.0,18,8947,8947,7,7,1,7,27,27,0,3,100% Har Ghar Jal,4530,35,33525,38090
Kerala,Alappuzha,Kanjikuzhi,6%3A661,Cherthala North,111128252%3A1,55.0,11,5936,4655,5,5,5,5,25,25,20,24,In progress,1214,89,24242,25545
Kerala,Alappuzha,Kanjikuzhi,6%3A661,Mararikkulam North,11112825311,55.0,18,10883,8812,16,16,16,15,25,25,20,24,In progress,2478,285,38791,41554
Kerala,Alappuzha,Kanjikuzhi,6%3A661,Cherthala South,11112825291,69.68,11,6679,5837,7,7,7,7,23,23,14,23,In progress,1239,146,25028,26413
Kerala,Alappuzha,Kanjikuzhi,6%3A661,Kadakkarapply,11117624141,100.0,14,5989,5598,6,6,3,6,19,19,0,19,In progress,789,13,28988,29790
Kerala,Alappuzha,Kanjikuzhi,6%3A661,Thanneermukkam,11117624151,55.0,23,10805,10805,17,17,3,17,44,44,1,42,100% Har Ghar Jal,2163,240,51201,53604
Kerala,Alappuzha,Kanjikuzhi,6%3A661,Kanjikuzhi,11117443161,55.0,18,8381,8381,5,5,3,5,30,30,0,30,100% Har Ghar Jal,1149,14,37221,38384
