state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level,TotalHab,TotalNoofHouseholds,HousesWithTaps,NoofSchool,School_TapCon,RunningWater_In_Toilet_Urinals_School,hand_wash_avail_School,NoofBal_Agan,Bal_Agan_TapCon,RunningWater_In_Toilet_Urinals_Agan,hand_wash_avail_Agan,JJMStatus,SCCurrentPop,STCurrentPop,GENCurrentPop,TotalCurrentPop
Ladakh,Kargil,Karsha,81541,Akshoo,11112491341,55.0,5,64,64,2,2,0,0,2,2,0,1,100% Har Ghar Jal,0,375,0,375
Ladakh,Kargil,Karsha,81541,Abran,11112491351,55.0,10,70,70,2,2,0,0,3,3,0,0,100% Har Ghar Jal,0,451,0,451
Ladakh,Kargil,Karsha,81541,Hamiling,11112491361,55.0,4,39,39,0,0,0,0,1,1,0,1,100% Har Ghar Jal,0,168,0,168
Ladakh,Kargil,Karsha,81541,Phay,11112491381,55.0,22,153,153,3,3,0,2,5,5,0,2,100% Har Ghar Jal,0,746,0,746
Ladakh,Kargil,Karsha,81541,Rantaq Shah,11112491391,55.0,2,63,63,2,2,0,1,1,1,0,0,100% Har Ghar Jal,0,402,0,402
Ladakh,Kargil,Karsha,81541,ATING,111124913%3A1,55.0,12,103,103,4,4,1,1,3,3,0,0,100% Har Ghar Jal,0,644,0,644
Ladakh,Kargil,Karsha,81541,KARSHA,11112491431,55.0,12,180,180,2,2,0,0,3,3,0,0,100% Har Ghar Jal,0,833,0,833
Ladakh,Kargil,Karsha,81541,LANGMI RIJING,11112491451,55.0,3,32,32,1,1,0,0,2,2,0,0,100% Har Ghar Jal,0,140,0,140
Ladakh,Kargil,Karsha,81541,TONGRI,11112491461,55.0,13,123,123,3,3,0,1,2,2,0,0,100% Har Ghar Jal,0,1018,0,1018
Ladakh,Kargil,Karsha,81541,TACHA KHASAR,11117795491,55.0,5,95,95,2,2,0,1,2,2,0,0,100% Har Ghar Jal,0,600,0,600
Ladakh,Kargil,Karsha,81541,REMALA/SKYGAM,11117795611,55.0,4,109,109,2,2,0,0,3,3,0,0,100% Har Ghar Jal,0,557,0,557
Ladakh,Kargil,Lungnuk,76521,Pipcha,11112491541,55.0,3,34,34,1,1,0,0,1,1,0,0,100% Har Ghar Jal,0,169,0,169
Ladakh,Kargil,Lungnuk,76521,Itchar,11112491561,55.0,3,39,39,1,1,0,0,1,1,1,1,100% Har Ghar Jal,0,244,0,244
Ladakh,Kargil,Lungnuk,76521,Cha,11112491581,55.0,11,80,80,3,3,1,1,4,4,0,0,100% Har Ghar Jal,0,445,0,445
Ladakh,Kargil,Lungnuk,76521,SHUNSHADY,11112491591,55.0,1,46,46,1,1,0,1,1,1,0,1,100% Har Ghar Jal,0,180,0,180
Ladakh,Kargil,Lungnuk,76521,Testa,111124915%3A1,55.0,11,74,74,4,4,0,0,4,4,3,3,100% Har Ghar Jal,0,471,0,471
Ladakh,Kargil,Lungnuk,76521,Kargiak,11117795621,55.0,4,70,70,2,2,0,0,3,3,1,2,100% Har Ghar Jal,0,434,0,434
Ladakh,Kargil,Lungnuk,76521,RARU-MONAY,11117795641,55.0,3,62,62,1,1,0,0,2,2,1,1,100% Har Ghar Jal,0,365,0,365
Ladakh,Kargil,ZANSKAR,841,PADUM,11112491491,55.0,14,336,335,10,10,0,1,6,6,0,0,In progress,0,1730,0,1730
Ladakh,Kargil,ZANSKAR,841,SLAPI/GYAPAK,11112491521,55.0,8,138,138,2,2,0,0,4,4,0,1,100% Har Ghar Jal,0,819,0,819
Ladakh,Kargil,ZANSKAR,841,SANI,11112491531,55.0,9,125,125,2,2,0,0,3,3,0,1,100% Har Ghar Jal,0,628,0,628
Ladakh,Kargil,ZANSKAR,841,UFTI PIPITING,1111762%3A%3A%3A1,55.0,9,183,183,4,4,0,0,2,2,0,1,100% Har Ghar Jal,0,977,0,977
Ladakh,Kargil,ZANSKAR,841,Ruk Ruk,11117795411,55.0,5,69,69,2,2,0,2,1,1,0,1,100% Har Ghar Jal,0,414,0,414
Ladakh,Kargil,ZANSKAR,841,Zangla,11112491471,55.0,9,196,196,6,6,0,0,5,5,0,2,100% Har Ghar Jal,0,1094,0,1094
Ladakh,Kargil,ZANSKAR,841,STONGDAY/KUMIK,11112491481,55.0,11,204,204,4,4,1,1,3,3,0,0,100% Har Ghar Jal,0,1075,0,1075
Ladakh,Kargil,Bhimbat Drass,814%3A1,Shimsha,11117531321,55.0,8,129,121,3,3,2,2,4,4,0,4,In progress,0,1051,0,1051
Ladakh,Kargil,Bhimbat Drass,814%3A1,Chowkiyal,1111248%3A7%3A1,55.0,5,157,151,4,4,1,0,6,6,0,5,In progress,0,1165,0,1165
Ladakh,Kargil,Bhimbat Drass,814%3A1,Youlboo,11117556581,55.0,2,139,139,2,2,2,2,2,2,0,0,100% Har Ghar Jal,0,865,0,865
Ladakh,Kargil,Bhimbat Drass,814%3A1,JASGUND,11117853261,55.0,3,63,63,5,5,2,5,6,6,0,4,100% Har Ghar Jal,0,470,0,470
Ladakh,Kargil,Bhimbat Drass,814%3A1,Thasgaam,11117853%3A71,55.0,2,55,55,0,0,0,0,1,1,0,1,100% Har Ghar Jal,0,530,0,530
