state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level
Maharashtra,Ahmednagar,Jamkhed,53891,Parewadi,11113448561,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Nagobawadi,11113449171,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Mungewadi,11113449161,0.02
Maharashtra,Ahmednagar,Jamkhed,53891,JAWALKE,11113448%3A21,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Pandharewadi,11113449181,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Sangvi,11113449221,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Vanjarwadi,11113448%3A41,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,DEODAITHAN,11113448921,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Katewadi,11113449251,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Chondhi,11113448571,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Dhanegaon,111134489%3A1,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Kusadgaon,11113448641,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,NANNAJ,11113448661,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Sonegaon,11113448%3A11,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,DONGAON,11113448481,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Daundachiwadi,11113448%3A51,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,JAWALA,111134487%3A1,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,POTEWADI,111134486%3A1,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Naigaon,11113448871,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Wagha,11113448761,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,HALGAON,11113448631,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,LONI,11113448881,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Kharda,11113449141,0.05
Maharashtra,Ahmednagar,Jamkhed,53891,Daradwadi,11113449151,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Taradgaon,11113448%3A31,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Saradwadi,11113448651,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Savargaon,11113449231,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Sarola,11113449241,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Moha,11113449191,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Zikri,111134491%3A1,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Ratnapur,11113449211,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Satephal,11113448%3A61,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Apti,11113448%3A71,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Jategaon,11113448%3A81,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Dighol,11113448%3A91,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Malewadi,11113448%3A%3A1,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Sakat,11113449111,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Kolhewadi,11113449121,55.0
Maharashtra,Ahmednagar,Jamkhed,53891,Pimpalwadi,11113449131,55.0
