state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level,TotalHab,TotalNoofHouseholds,HousesWithTaps,NoofSchool,School_TapCon,RunningWater_In_Toilet_Urinals_School,hand_wash_avail_School,NoofBal_Agan,Bal_Agan_TapCon,RunningWater_In_Toilet_Urinals_Agan,hand_wash_avail_Agan,JJMStatus,SCCurrentPop,STCurrentPop,GENCurrentPop,TotalCurrentPop
Tamil Nadu,Ariyalur,Ariyalur,73671,Alanduraiyarkattalai,11114852911,39.95,6,625,625,4,4,4,4,4,4,4,4,100% Har Ghar Jal,317,0,2105,2422
Tamil Nadu,Ariyalur,Ariyalur,73671,Andipattakkadu,11114852921,55.0,5,1036,1036,4,4,4,4,4,4,4,4,100% Har Ghar Jal,804,0,3681,4485
Tamil Nadu,Ariyalur,Ariyalur,73671,Arungal,11114852931,56.0,4,1290,1290,3,3,3,3,4,4,4,4,100% Har Ghar Jal,634,216,3172,4022
Tamil Nadu,Ariyalur,Ariyalur,73671,Edayathankudi,11114852941,55.0,3,758,758,3,3,3,3,2,2,2,2,100% Har Ghar Jal,122,81,2416,2619
Tamil Nadu,Ariyalur,Ariyalur,73671,Eruthukkarappatti,11114852951,60.0,6,2813,2813,7,7,7,7,3,3,3,3,100% Har Ghar Jal,558,246,7082,7886
Tamil Nadu,Ariyalur,Ariyalur,73671,Govindapuram,11114852961,56.0,10,1355,1355,8,8,8,8,6,6,6,6,100% Har Ghar Jal,1347,0,4229,5576
Tamil Nadu,Ariyalur,Ariyalur,73671,Hasthinapuram,11114852971,55.0,12,4051,4051,10,10,10,10,6,6,6,6,100% Har Ghar Jal,1970,0,11222,13192
Tamil Nadu,Ariyalur,Ariyalur,73671,Illuppaiyur,11114852981,55.0,2,1180,1180,4,4,4,4,3,3,3,3,100% Har Ghar Jal,1993,0,2820,4813
Tamil Nadu,Ariyalur,Ariyalur,73671,Kadugur,11114852991,60.0,7,1882,1882,7,7,7,7,6,6,6,6,100% Har Ghar Jal,855,0,6992,7847
Tamil Nadu,Ariyalur,Ariyalur,73671,Kallankurichi,111148529%3A1,57.0,11,1476,1476,8,8,8,8,6,6,6,6,100% Har Ghar Jal,1299,0,4835,6134
Tamil Nadu,Ariyalur,Ariyalur,73671,Karuppilakattalai,11114852%3A11,55.0,5,1350,1350,5,5,5,5,6,6,6,6,100% Har Ghar Jal,1385,6,3353,4744
Tamil Nadu,Ariyalur,Ariyalur,73671,Kavanur,11114852%3A21,60.0,6,1148,1148,5,5,5,5,4,4,4,4,100% Har Ghar Jal,594,11,3153,3758
Tamil Nadu,Ariyalur,Ariyalur,73671,Kayarlabath,11114852%3A31,55.0,3,417,417,1,1,1,1,2,2,2,2,100% Har Ghar Jal,637,10,1247,1894
Tamil Nadu,Ariyalur,Ariyalur,73671,Melakaruppur,11114852%3A61,55.0,4,1518,1518,6,6,6,6,4,4,4,4,100% Har Ghar Jal,754,40,4796,5590
Tamil Nadu,Ariyalur,Ariyalur,73671,Nagamangalam,11114852%3A71,60.0,6,1005,1005,4,4,4,4,3,3,3,3,100% Har Ghar Jal,1295,90,2676,4061
Tamil Nadu,Ariyalur,Ariyalur,73671,Ottakoil,11114852%3A81,55.0,5,1199,1199,4,4,4,4,5,5,5,5,100% Har Ghar Jal,1769,0,4022,5791
Tamil Nadu,Ariyalur,Ariyalur,73671,Periyanagalur,11114852%3A91,55.0,5,1464,1464,4,4,4,4,4,4,4,4,100% Har Ghar Jal,722,0,3742,4464
Tamil Nadu,Ariyalur,Ariyalur,73671,Periyathirukonam,11114852%3A%3A1,55.0,3,876,876,4,4,4,4,3,3,3,3,100% Har Ghar Jal,815,0,2381,3196
Tamil Nadu,Ariyalur,Ariyalur,73671,Pottaveli,11114853111,22.33,3,1227,1227,3,3,3,3,3,3,3,3,100% Har Ghar Jal,2142,0,3292,5434
Tamil Nadu,Ariyalur,Ariyalur,73671,Pudupalayam,11114853121,60.0,4,1363,1363,3,3,3,3,3,3,3,3,100% Har Ghar Jal,1072,3,2731,3806
Tamil Nadu,Ariyalur,Ariyalur,73671,Pungankuzhi,11114853131,60.0,6,1428,1428,4,4,4,4,6,6,6,6,100% Har Ghar Jal,528,0,5051,5579
Tamil Nadu,Ariyalur,Ariyalur,73671,Rayampuram,11114853141,55.0,3,1190,1190,5,5,5,5,3,3,3,3,100% Har Ghar Jal,1319,0,3489,4808
Tamil Nadu,Ariyalur,Ariyalur,73671,Reddipalayam,11114853151,55.0,8,1391,1391,8,8,8,8,5,5,5,5,100% Har Ghar Jal,516,5,5628,6149
Tamil Nadu,Ariyalur,Ariyalur,73671,Sennivanam,11114853161,44.87,2,515,515,2,2,2,2,2,2,2,2,100% Har Ghar Jal,1176,0,975,2151
Tamil Nadu,Ariyalur,Ariyalur,73671,Siruvalur,11114853171,55.0,5,1476,1476,6,6,6,6,6,6,6,6,100% Har Ghar Jal,1080,0,3822,4902
