state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level,TotalHab,TotalNoofHouseholds,HousesWithTaps,NoofSchool,School_TapCon,RunningWater_In_Toilet_Urinals_School,hand_wash_avail_School,NoofBal_Agan,Bal_Agan_TapCon,RunningWater_In_Toilet_Urinals_Agan,hand_wash_avail_Agan,JJMStatus,SCCurrentPop,STCurrentPop,GENCurrentPop,TotalCurrentPop
Telangana,Adilabad,Adilabad,82531,Landasangivi,11111311251,106.13,1,450,450,2,2,2,2,2,2,2,2,100% Har Ghar Jal,142,109,1379,1630
Telangana,Adilabad,Adilabad,82531,Bheemsari,11111311281,104.26,1,564,564,2,2,2,2,3,3,3,3,100% Har Ghar Jal,357,0,1990,2347
Telangana,Adilabad,Adilabad,82531,Ramai,11111311351,101.77,5,442,442,3,3,1,2,0,0,0,0,100% Har Ghar Jal,211,344,1089,1644
Telangana,Adilabad,Adilabad,82531,Kumbhajhari,11111311371,101.83,2,160,160,2,2,1,1,2,2,0,2,100% Har Ghar Jal,104,235,210,549
Telangana,Adilabad,Adilabad,82531,Yapalguda,11111311381,106.21,5,978,978,3,3,3,3,1,1,1,1,100% Har Ghar Jal,342,956,2354,3652
Telangana,Adilabad,Adilabad,82531,Kachikanti,11111311391,102.32,2,388,388,1,1,1,1,3,3,1,3,100% Har Ghar Jal,187,873,16,1076
Telangana,Adilabad,Adilabad,82531,Tantoli,11111311411,102.05,3,437,437,1,1,1,0,4,4,1,4,100% Har Ghar Jal,141,401,1311,1853
Telangana,Adilabad,Adilabad,82531,Ankoli,11111311421,102.19,3,688,688,2,2,2,2,11,11,7,10,100% Har Ghar Jal,153,719,1455,2327
Telangana,Adilabad,Adilabad,82531,Kottur,11111311441,101.45,1,60,60,0,0,0,0,1,1,0,1,100% Har Ghar Jal,9,230,37,276
Telangana,Adilabad,Adilabad,82531,Maleboregaon,11111311451,104.27,5,566,566,4,4,2,4,3,3,1,3,100% Har Ghar Jal,354,1026,797,2177
Telangana,Adilabad,Adilabad,82531,Pippaldhari,11111311461,102.41,6,443,443,1,1,1,1,7,7,7,7,100% Har Ghar Jal,447,647,276,1370
Telangana,Adilabad,Adilabad,82531,Asoda Burki,11111311471,102.75,5,168,168,0,0,0,0,0,0,0,0,100% Har Ghar Jal,0,636,18,654
Telangana,Adilabad,Adilabad,82531,Jamuldhari,11111311481,102.94,1,70,70,0,0,0,0,0,0,0,0,100% Har Ghar Jal,5,204,29,238
Telangana,Adilabad,Adilabad,82531,Lohara,11111311511,102.41,6,188,188,1,1,0,0,4,4,0,4,100% Har Ghar Jal,323,383,0,706
Telangana,Adilabad,Adilabad,82531,Lokari,11111311521,102.59,2,284,284,1,1,1,1,2,2,2,2,100% Har Ghar Jal,51,518,398,967
Telangana,Adilabad,Adilabad,82531,Pochera,11116%3A%3A4721,104.17,2,480,480,2,2,1,2,2,2,1,2,100% Har Ghar Jal,604,5,830,1439
Telangana,Adilabad,Adilabad,82531,Arli-b,11116%3A%3A4%3A11,100.24,1,220,220,1,1,1,1,2,2,1,2,100% Har Ghar Jal,73,90,678,841
Telangana,Adilabad,Adilabad,82531,Takli,11116%3A%3A5131,100.0,1,8,8,0,0,0,0,0,0,0,0,100% Har Ghar Jal,0,32,0,32
Telangana,Adilabad,Adilabad,82531,Chinchughat,11116%3A%3A5171,101.94,12,333,333,0,0,0,0,12,12,3,12,100% Har Ghar Jal,42,1170,27,1239
Telangana,Adilabad,Adilabad,82531,Anakpur,11116%3A%3A5221,103.88,2,121,121,1,1,1,1,2,2,0,2,100% Har Ghar Jal,0,420,18,438
Telangana,Adilabad,Adilabad,82531,Khandala,11116%3A%3A5311,102.31,8,397,397,1,1,0,0,9,9,4,9,100% Har Ghar Jal,0,1273,24,1297
Telangana,Adilabad,Adilabad,82531,Wanwat,11116%3A%3A5411,101.64,5,540,540,0,0,0,0,0,0,0,0,100% Har Ghar Jal,27,1425,498,1950
Telangana,Adilabad,Adilabad,82531,Tippa,11116%3A%3A5511,104.18,2,75,75,1,1,0,0,1,1,0,1,100% Har Ghar Jal,0,266,45,311
Telangana,Adilabad,Adilabad,82531,Hathiguda,11116%3A%3A5641,102.18,2,73,73,1,1,0,1,1,1,0,1,100% Har Ghar Jal,0,276,0,276
Telangana,Adilabad,Adilabad,82531,Khanapur,11116%3A%3A5671,105.57,9,460,460,1,1,1,1,6,6,3,6,100% Har Ghar Jal,1,969,0,970
Telangana,Adilabad,Adilabad,82531,Chisdhari,11116%3A%3A5691,101.77,2,102,102,0,0,0,0,2,2,0,2,100% Har Ghar Jal,187,380,0,567
Telangana,Adilabad,Adilabad,82531,Jamdapur,11117182681,101.16,1,375,375,1,1,1,1,3,3,3,3,100% Har Ghar Jal,393,0,902,1295
Telangana,Adilabad,Adilabad,82531,Chanda,11117184351,102.09,1,691,691,2,2,1,1,5,5,2,5,100% Har Ghar Jal,339,0,2531,2870
Telangana,Adilabad,Adilabad,82531,Burnur,11117188651,101.41,1,90,90,0,0,0,0,1,1,0,1,100% Har Ghar Jal,0,127,234,361
