name,constituency,so_do_wo,age,party,assets,liabilities
AADE GAJENDER,BOATH (ST)  (ADILABAD),Parusuram,44,INC,Telangana 2018,"Rs1,14,40,000"
ADE SUNIL KUMAR,BOATH (ST)  (ADILABAD),Ade Govind,33,Bharatha Chaitanya Yuvajana Party,"Rs 9,21,000","Rs 6,57,000"
AGGIMALLA GANESH,ADILABAD  (ADILABAD),Nadipenna,37,Dharma Samaj Party,Telangana 2023,"Rs1,93,18,616"
ALLURI SANJEEVA REDDY,ADILABAD  (ADILABAD),Bhumaa Reddy,65,IND,"Rs 3,38,66,297","Rs 4,33,368"
ANIL JADHAV(Winner),BOATH (ST)  (ADILABAD),Rama Rao,49,BRS,Telangana 2023,"Rs50,254"
ANNAM PREM DEVENDER,ADILABAD  (ADILABAD),Nadipenna,47,IND,"Rs 36,27,372","Rs 1,16,019"
ASLAM,ADILABAD  (ADILABAD),Shaik Esmail,36,IND,"Rs 2,20,000","Rs 1,05,000"
BADU NAITHAM,BOATH (ST)  (ADILABAD),DHARMANNA,42,Gondvana Gantantra Party,"Rs 19,85,000",Nil
BANU RAJESHWAR RAO,ADILABAD  (ADILABAD),Shyamrao,64,IND,"Rs 7,51,000","Rs 80,000"
BEDODKAR GANESH,ADILABAD  (ADILABAD),Bedurkar Dilip,35,IND,"Rs 35,000",Nil
BHUPENDER,ADILABAD  (ADILABAD),Hanman das,26,Alliance of Democratic Reforms Party,"Rs 60,000",Nil
ELCHARWAR SATHYANARAYANA,ADILABAD  (ADILABAD),Nandu Elcharwar,35,Baliraja Party,"Rs 23,34,800",Nil
GEDAM JANARDHAN,ADILABAD  (ADILABAD),Vittal,53,IND,"Rs 32,10,000","Rs 29,88,000"
GUDEPELLY GNANESH,ADILABAD  (ADILABAD),Gudepelly Nagesh,27,Bharatha Chaitanya Yuvajana Party,"Rs 40,00,000","Rs 13,00,000"
JADHAV BHOJYA NAIK,BOATH (ST)  (ADILABAD),Chandhu Naik,51,IND,"Rs 1,20,000","Rs 60,000"
JOGU RAMANNA,ADILABAD  (ADILABAD),Late. Ashanna,60,BRS,Telangana 2018,"Rs3,78,71,078"
KALAMADUGU VIJAY KUMAR,ADILABAD  (ADILABAD),Daniel,55,IND,"Rs 1,00,000",Nil
