State_name,district_name,block_name,village_name,service_level
Telangana,Chigurumamidi,Polampalle,Polampalle,104.00
Telangana,Chigurumamidi,Kandugula,Kandugula,104.07
Telangana,Chigurumamidi,YASWADA,YASWADA,116.67
Telangana,Chigurumamidi,Mallapur,Mallapur,118.04
Telangana,Chigurumamidi,Sundaragiri,Sundaragiri,102.05
Telangana,Chigurumamidi,Munjampalle,Munjampalle,102.41
Telangana,Chigurumamidi,Maddikunta,Maddikunta,104.17
Telangana,Chigurumamidi,Pothireddipet,Pothireddipet,102.93
Telangana,Chigurumamidi,Choppadandi,Choppadandi,105.61
Telangana,Chigurumamidi,Renikunta,Renikunta,101.15
Telangana,Chigurumamidi,Mannenpalle,Mannenpalle,107.33
Telangana,Chigurumamidi,Mallapur,Mallapur,106.69
Telangana,Chigurumamidi,Rekonda,Rekonda,105.27
Telangana,Chigurumamidi,Kothagattu,Kothagattu,113.51
Telangana,Chigurumamidi,Kothapalle,Kothapalle,105.04
Telangana,Chigurumamidi,Bornapally,Bornapally,110.79
Telangana,Chigurumamidi,Vegurupalle,Vegurupalle,102.22
Telangana,Chigurumamidi,Achampalli,Achampalli,110.14
Telangana,Chigurumamidi,Pothireddypalli,Pothireddypalli,104.12
Telangana,Chigurumamidi,Singapur,Singapur,103.88
Telangana,Chigurumamidi,Thadiakal,Thadiakal,105.64
Telangana,Chigurumamidi,Gaddapaka,Gaddapaka,101.89
Telangana,Chigurumamidi,Elbotharam,Elbotharam,109.20
Telangana,Chigurumamidi,Mallial,Mallial,106.75
Telangana,Chigurumamidi,Mulkanoor,Mulkanoor,101.30
Telangana,Chigurumamidi,Chippakurthi,Chippakurthi,103.34
Telangana,Chigurumamidi,Bommanapalli,Bommanapalli,103.79
Telangana,Chigurumamidi,Shalapalli-indiranagar,Shalapalli-indiranagar,100.64
Telangana,Chigurumamidi,Rukmapur,Rukmapur,103.69
Telangana,Chigurumamidi,Indurthy,Indurthy,107.27
Telangana,Chigurumamidi,Vennampally,Vennampally,109.59
Telangana,Chigurumamidi,Cherlabuthkur,Cherlabuthkur,101.63
Telangana,Chigurumamidi,Katrapalli,Katrapalli,107.24
Telangana,Chigurumamidi,Patharlapally,Patharlapally,107.36
Telangana,Chigurumamidi,Vavilala,Vavilala,104.24
Telangana,Chigurumamidi,Nagireddipur,Nagireddipur,111.52
Telangana,Chigurumamidi,Saidapur,Saidapur,107.49
Telangana,Chigurumamidi,Kothapalli Haveli,Kothapalli Haveli,102.86
Telangana,Chigurumamidi,Chintakunta,Chintakunta,106.21
Telangana,Chigurumamidi,Huzurabad,Huzurabad,104.34
Telangana,Chigurumamidi,Kolimikunta,Kolimikunta,102.82
Telangana,Chigurumamidi,Kachapoor,Kachapoor,104.92
Telangana,Chigurumamidi,Kalvala,Kalvala,121.92
Telangana,Chigurumamidi,Kurikial,Kurikial,107.60
Telangana,Chigurumamidi,Utoor,Utoor,101.44
Telangana,Chigurumamidi,Akunuru,Akunuru,112.68
Telangana,Chigurumamidi,Nedunur,Nedunur,104.96
Telangana,Chigurumamidi,Koratpalli,Koratpalli,102.63
Telangana,Chigurumamidi,Nawabpet,Nawabpet,101.19
Telangana,Chigurumamidi,Brahmanapalli,Brahmanapalli,102.98
Telangana,Chigurumamidi,Korkal,Korkal,110.86
Telangana,Chigurumamidi,Bommakal,Bommakal,100.58
Telangana,Chigurumamidi,Chigurumamidi,Chigurumamidi,108.84
Telangana,Chigurumamidi,Parlapalle,Parlapalle,103.98
Telangana,Chigurumamidi,Gopalraopeta,Gopalraopeta,100.00
Telangana,Chigurumamidi,Mamidalapalli,Mamidalapalli,105.69
Telangana,Chigurumamidi,Metpally,Metpally,105.54
Telangana,Chigurumamidi,Bethigal,Bethigal,102.03
Telangana,Chigurumamidi,Gattududdenapalle,Gattududdenapalle,103.45
Telangana,Chigurumamidi,Jupaka,Jupaka,108.53
Telangana,Chigurumamidi,Gundi,Gundi,101.56
Telangana,Chigurumamidi,Ellanthakunta,Ellanthakunta,105.16
Telangana,Chigurumamidi,Chityalapally,Chityalapally,104.23
Telangana,Chigurumamidi,Bhupalapatnam,Bhupalapatnam,101.60
Telangana,Chigurumamidi,Ramchandrapur,Ramchandrapur,117.02
Telangana,Chigurumamidi,Ammanagurthi,Ammanagurthi,113.27
Telangana,Chigurumamidi,Devampalle,Devampalle,102.05
Telangana,Chigurumamidi,Uppara Mallial,Uppara Mallial,110.98
Telangana,Chigurumamidi,Kanaparthi,Kanaparthi,102.60
Telangana,Chigurumamidi,Nallagonda,Nallagonda,106.42
Telangana,Chigurumamidi,Sirsapalli,Sirsapalli,101.42
Telangana,Chigurumamidi,Mudimanikyam,Mudimanikyam,104.60
Telangana,Chigurumamidi,Shanagar,Shanagar,105.76
Telangana,Chigurumamidi,Lalithapur,Lalithapur,104.53
Telangana,Chigurumamidi,Rajapur,Rajapur,115.14
Telangana,Chigurumamidi,Narsimulapalli,Narsimulapalli,112.71
Telangana,Chigurumamidi,Kondapoor,Kondapoor,103.09
Telangana,Chigurumamidi,Sarvareddipalli,Sarvareddipalli,106.75
Telangana,Chigurumamidi,Challur,Challur,102.16
Telangana,Chigurumamidi,Somaram,Somaram,118.34
Telangana,Chigurumamidi,Jublinagar,Jublinagar,103.56
Telangana,Chigurumamidi,Kistapur,Kistapur,106.13
Telangana,Chigurumamidi,Sriramulapalli,Sriramulapalli,114.38
Telangana,Chigurumamidi,KASHIMPET,KASHIMPET,110.61
Telangana,Chigurumamidi,Vannaram,Vannaram,100.71
Telangana,Chigurumamidi,MADHAPUR,MADHAPUR,109.71
Telangana,Chigurumamidi,Korapally,Korapally,106.22
Telangana,Chigurumamidi,Mogilipalem,Mogilipalem,104.38
Telangana,Chigurumamidi,Rudraram,Rudraram,102.64
Telangana,Chigurumamidi,Venkataipalle,Venkataipalle,109.83
Telangana,Chigurumamidi,Vanthadupula,Vanthadupula,102.03
Telangana,Chigurumamidi,Vedurugatta,Vedurugatta,104.97
Telangana,Chigurumamidi,Madipally,Madipally,106.97
